Frequenz (Hz)	Pegel (dB)
2,929688	-82,953354
5,859375	-77,609070
8,789062	-76,119514
11,718750	-75,941154
14,648438	-75,529556
17,578125	-74,986580
20,507812	-75,349983
23,437500	-75,885284
26,367188	-76,481194
29,296875	-77,564285
32,226562	-77,185196
35,156250	-77,032394
38,085938	-76,598312
41,015625	-76,523811
43,945312	-76,292496
46,875000	-48,576931
49,804688	-39,434498
52,734375	-45,210896
55,664062	-72,788139
58,593750	-72,795433
61,523438	-73,961594
64,453125	-74,114105
67,382812	-67,877800
70,312500	-63,819801
73,242188	-71,596703
76,171875	-75,689560
79,101562	-74,854660
82,031250	-73,316154
84,960938	-74,020332
87,890625	-74,020866
90,820312	-76,361603
93,750000	-76,607216
96,679688	-74,535484
99,609375	-67,126823
102,539062	-63,296482
105,468750	-59,148087
108,398438	-61,242516
111,328125	-60,361752
114,257812	-59,792995
117,187500	-61,522095
120,117188	-63,730659
123,046875	-69,576279
125,976562	-72,035629
128,906250	-71,888290
131,835938	-72,935135
134,765625	-72,504036
137,695312	-72,510536
140,625000	-73,076508
143,554688	-72,958778
146,484375	-56,352894
149,414062	-43,480129
152,343750	-46,157524
155,273438	-68,172577
158,203125	-75,421425
161,132812	-73,004639
164,062500	-70,290314
166,992188	-69,781807
169,921875	-69,465073
172,851562	-68,706238
175,781250	-71,138809
178,710938	-71,660271
181,640625	-69,591888
184,570312	-67,830086
187,500000	-70,177071
190,429688	-74,589539
193,359375	-73,278938
196,289062	-71,474258
199,218750	-68,791557
202,148438	-68,491913
205,078125	-68,640854
208,007812	-67,240784
210,937500	-61,994556
213,867188	-61,594910
216,796875	-63,576378
219,726562	-64,005020
222,656250	-63,771885
225,585938	-64,098701
228,515625	-68,597176
231,445312	-67,325073
234,375000	-70,163704
237,304688	-72,189079
240,234375	-71,549477
243,164062	-72,725136
246,093750	-67,089882
249,023438	-51,070389
251,953125	-50,760773
254,882812	-65,059326
257,812500	-70,060860
260,742188	-68,776321
263,671875	-69,247246
266,601562	-70,032730
269,531250	-70,546097
272,460938	-71,197983
275,390625	-72,303535
278,320312	-71,706009
281,250000	-72,375404
284,179688	-72,711609
287,109375	-70,633560
290,039062	-67,313370
292,968750	-64,755661
295,898438	-65,762733
298,828125	-67,201485
301,757812	-67,301163
304,687500	-72,401726
307,617188	-72,466209
310,546875	-72,280876
313,476562	-71,322334
316,406250	-68,367043
319,335938	-66,444733
322,265625	-68,378059
325,195312	-72,896675
328,125000	-75,875046
331,054688	-74,438538
333,984375	-72,867767
336,914062	-72,251480
339,843750	-72,420769
342,773438	-74,885246
345,703125	-73,986664
348,632812	-60,786163
351,562500	-57,615616
354,492188	-67,323395
357,421875	-70,250496
360,351562	-71,491249
363,281250	-74,503944
366,210938	-74,762886
369,140625	-71,202545
372,070312	-70,364044
375,000000	-72,430145
377,929688	-73,041954
380,859375	-72,967941
383,789062	-71,643730
386,718750	-71,295845
389,648438	-70,589432
392,578125	-72,511810
395,507812	-71,736115
398,437500	-69,273827
401,367188	-68,364799
404,296875	-71,517609
407,226562	-71,821762
410,156250	-69,773216
413,085938	-69,094795
416,015625	-70,154175
418,945312	-71,266090
421,875000	-71,486061
424,804688	-71,274185
427,734375	-72,386665
430,664062	-76,272392
433,593750	-76,279076
436,523438	-73,873672
439,453125	-71,471161
442,382812	-71,471893
445,312500	-72,329964
448,242188	-66,508133
451,171875	-61,036663
454,101562	-66,823425
457,031250	-70,009392
459,960938	-72,469933
462,890625	-75,886154
465,820312	-74,328537
468,750000	-72,283180
471,679688	-70,476959
474,609375	-69,099442
477,539062	-70,107750
480,468750	-70,825508
483,398438	-72,673584
486,328125	-73,251747
489,257812	-74,650703
492,187500	-73,518837
495,117188	-70,886986
498,046875	-70,524368
500,976562	-71,148430
503,906250	-70,452614
506,835938	-68,292473
509,765625	-69,142868
512,695312	-71,693146
515,625000	-72,470230
518,554688	-72,609375
521,484375	-72,244576
524,414062	-72,757874
527,343750	-72,783043
530,273438	-71,364578
533,203125	-70,905785
536,132812	-72,408562
539,062500	-73,682617
541,992188	-73,803894
544,921875	-73,793625
547,851562	-67,281906
550,781250	-58,520439
553,710938	-63,329597
556,640625	-75,556602
559,570312	-75,906258
562,500000	-74,190849
565,429688	-71,555908
568,359375	-65,653069
571,289062	-67,948006
574,218750	-70,945450
577,148438	-73,033203
580,078125	-73,201538
583,007812	-72,221291
585,937500	-72,085815
588,867188	-73,817474
591,796875	-75,870171
594,726562	-76,805023
597,656250	-76,043373
600,585938	-73,455261
603,515625	-74,757668
606,445312	-76,900818
609,375000	-76,257744
612,304688	-75,315567
615,234375	-75,182915
618,164062	-76,007935
621,093750	-73,549416
624,023438	-72,955307
626,953125	-75,495171
629,882812	-73,541473
632,812500	-72,996391
635,742188	-73,999451
638,671875	-72,022110
641,601562	-71,206978
644,531250	-75,443459
647,460938	-71,346893
650,390625	-58,871925
653,320312	-60,891037
656,250000	-74,327583
659,179688	-73,824905
662,109375	-72,683105
665,039062	-74,429367
667,968750	-74,415703
670,898438	-75,782524
673,828125	-76,030098
676,757812	-75,927437
679,687500	-75,357307
682,617188	-75,167274
685,546875	-74,485542
688,476562	-75,906342
691,406250	-77,063034
694,335938	-77,032745
697,265625	-79,246063
700,195312	-74,065956
703,125000	-75,575874
706,054688	-78,442108
708,984375	-78,003563
711,914062	-78,560715
714,843750	-79,948631
717,773438	-79,176376
720,703125	-78,246330
723,632812	-78,411995
726,562500	-76,519669
729,492188	-76,995377
732,421875	-78,224022
735,351562	-79,333954
738,281250	-79,095963
741,210938	-79,664330
744,140625	-79,374626
747,070312	-77,670853
750,000000	-64,747246
752,929688	-63,870407
755,859375	-76,135864
758,789062	-80,009117
761,718750	-80,393105
764,648438	-80,339691
767,578125	-80,266182
770,507812	-78,919586
773,437500	-77,054840
776,367188	-76,775940
779,296875	-77,412346
782,226562	-77,528206
785,156250	-78,411964
788,085938	-79,408142
791,015625	-77,949181
793,945312	-78,483131
796,875000	-78,558586
799,804688	-74,461845
802,734375	-72,771202
805,664062	-76,976265
808,593750	-76,938766
811,523438	-76,336380
814,453125	-78,178146
817,382812	-78,680855
820,312500	-77,911789
823,242188	-77,376930
826,171875	-77,633736
829,101562	-78,446701
832,031250	-78,672112
834,960938	-77,252953
837,890625	-77,912804
840,820312	-77,858376
843,750000	-76,645737
846,679688	-76,394859
849,609375	-70,823517
852,539062	-67,690460
855,468750	-74,477478
858,398438	-75,980171
861,328125	-74,001747
864,257812	-74,807121
867,187500	-75,316483
870,117188	-75,520355
873,046875	-75,230705
875,976562	-75,589348
878,906250	-77,031654
881,835938	-76,244080
884,765625	-75,317513
887,695312	-75,692802
890,625000	-75,757500
893,554688	-75,494278
896,484375	-76,253082
899,414062	-76,074471
902,343750	-72,851662
905,273438	-74,707977
908,203125	-76,245125
911,132812	-76,427338
914,062500	-76,434761
916,992188	-77,610374
919,921875	-77,889191
922,851562	-79,234856
925,781250	-79,735275
928,710938	-77,806107
931,640625	-76,933800
934,570312	-78,116707
937,500000	-76,747177
940,429688	-75,802872
943,359375	-76,636665
946,289062	-77,316551
949,218750	-72,323914
952,148438	-67,248909
955,078125	-72,692055
958,007812	-75,933998
960,937500	-76,993423
963,867188	-76,572182
966,796875	-77,950531
969,726562	-78,489990
972,656250	-76,580971
975,585938	-76,953865
978,515625	-76,477875
981,445312	-76,467430
984,375000	-77,767151
987,304688	-79,219200
990,234375	-78,833473
993,164062	-77,676384
